fullname	site	long	lat	alt	hour	ozone	day	caseno
ANAHEIM	ANAH	117.919	33.821	41	8	1	1	1
ANAHEIM	ANAH	117.919	33.821	41	9	2	1	1
ANAHEIM	ANAH	117.919	33.821	41	10	4	1	1
ANAHEIM	ANAH	117.919	33.821	41	11	5	1	1
ANAHEIM	ANAH	117.919	33.821	41	12	8	1	1
ANAHEIM	ANAH	117.919	33.821	41	13	10	1	1
ANAHEIM	ANAH	117.919	33.821	41	14	9	1	1
ANAHEIM	ANAH	117.919	33.821	41	15	7	1	1
ANAHEIM	ANAH	117.919	33.821	41	16	6	1	1
ANAHEIM	ANAH	117.919	33.821	41	17	6	1	1
ANAHEIM	ANAH	117.919	33.821	41	18	5	1	1
ANAHEIM	ANAH	117.919	33.821	41	7	1	2	2
ANAHEIM	ANAH	117.919	33.821	41	8	1	2	2
ANAHEIM	ANAH	117.919	33.821	41	9	2	2	2
ANAHEIM	ANAH	117.919	33.821	41	10	5	2	2
ANAHEIM	ANAH	117.919	33.821	41	11	8	2	2
ANAHEIM	ANAH	117.919	33.821	41	12	9	2	2
ANAHEIM	ANAH	117.919	33.821	41	13	8	2	2
ANAHEIM	ANAH	117.919	33.821	41	14	8	2	2
ANAHEIM	ANAH	117.919	33.821	41	15	7	2	2
ANAHEIM	ANAH	117.919	33.821	41	16	8	2	2
ANAHEIM	ANAH	117.919	33.821	41	17	6	2	2
ANAHEIM	ANAH	117.919	33.821	41	18	3	2	2
ANAHEIM	ANAH	117.919	33.821	41	7	2	3	3
ANAHEIM	ANAH	117.919	33.821	41	8	1	3	3
ANAHEIM	ANAH	117.919	33.821	41	9	2	3	3
ANAHEIM	ANAH	117.919	33.821	41	10	3	3	3
ANAHEIM	ANAH	117.919	33.821	41	11	6	3	3
ANAHEIM	ANAH	117.919	33.821	41	12	9	3	3
ANAHEIM	ANAH	117.919	33.821	41	13	10	3	3
ANAHEIM	ANAH	117.919	33.821	41	14	12	3	3
ANAHEIM	ANAH	117.919	33.821	41	15	11	3	3
ANAHEIM	ANAH	117.919	33.821	41	16	9	3	3
ANAHEIM	ANAH	117.919	33.821	41	17	7	3	3
ANAHEIM	ANAH	117.919	33.821	41	18	4	3	3
AZUSA	AZUS	117.923	34.136	189	7	3	1	4
AZUSA	AZUS	117.923	34.136	189	8	2	1	4
AZUSA	AZUS	117.923	34.136	189	9	3	1	4
AZUSA	AZUS	117.923	34.136	189	10	5	1	4
AZUSA	AZUS	117.923	34.136	189	11	7	1	4
AZUSA	AZUS	117.923	34.136	189	12	10	1	4
AZUSA	AZUS	117.923	34.136	189	13	13	1	4
AZUSA	AZUS	117.923	34.136	189	14	13	1	4
AZUSA	AZUS	117.923	34.136	189	15	13	1	4
AZUSA	AZUS	117.923	34.136	189	16	10	1	4
AZUSA	AZUS	117.923	34.136	189	17	8	1	4
AZUSA	AZUS	117.923	34.136	189	18	6	1	4
AZUSA	AZUS	117.923	34.136	189	7	1	2	5
AZUSA	AZUS	117.923	34.136	189	8	2	2	5
AZUSA	AZUS	117.923	34.136	189	9	3	2	5
